date,feature_index,NO2
2020-09-09T00:00:00.000Z,0,1.910244463942945E-5
2020-11-15T00:00:00.000Z,0,
2020-11-16T00:00:00.000Z,0,1.9587797396525275E-5
2020-11-14T00:00:00.000Z,0,
2020-11-12T00:00:00.000Z,0,
2020-11-11T00:00:00.000Z,0,
2020-11-13T00:00:00.000Z,0,
2020-11-10T00:00:00.000Z,0,2.4828525965858717E-5
2020-11-17T00:00:00.000Z,0,3.7285963117028587E-5
2021-05-06T00:00:00.000Z,0,
2021-05-07T00:00:00.000Z,0,
2021-05-09T00:00:00.000Z,0,7.295456452993676E-5
2021-05-10T00:00:00.000Z,0,2.7246216632192954E-5
2021-05-11T00:00:00.000Z,0,4.860305489273742E-5
2021-05-05T00:00:00.000Z,0,2.5745152925082948E-5
2021-05-12T00:00:00.000Z,0,2.8135383217886556E-5
2021-05-08T00:00:00.000Z,0,
2021-05-25T00:00:00.000Z,0,4.340234772826079E-5
2021-05-21T00:00:00.000Z,0,2.3211616280605085E-5
2021-05-24T00:00:00.000Z,0,2.7259040507487953E-5
2021-05-26T00:00:00.000Z,0,1.8329926660953788E-5
2021-05-22T00:00:00.000Z,0,6.12930398347089E-5
2021-05-28T00:00:00.000Z,0,
2021-05-27T00:00:00.000Z,0,2.4168783966160845E-5
2021-05-23T00:00:00.000Z,0,
2021-06-04T00:00:00.000Z,0,2.3048201910569333E-5
2021-05-30T00:00:00.000Z,0,
2021-05-31T00:00:00.000Z,0,7.443453796440735E-5
2021-06-02T00:00:00.000Z,0,4.679678568209056E-5
2021-06-03T00:00:00.000Z,0,2.3213461645354982E-5
2021-06-01T00:00:00.000Z,0,
2021-05-29T00:00:00.000Z,0,3.488792935968377E-5
2021-06-05T00:00:00.000Z,0,4.095166877959855E-5
2021-06-17T00:00:00.000Z,0,
2021-06-21T00:00:00.000Z,0,6.0206823036423884E-5
2021-06-18T00:00:00.000Z,0,3.970553370891139E-5
2021-06-19T00:00:00.000Z,0,3.604101584642194E-5
2021-06-14T00:00:00.000Z,0,
2021-06-20T00:00:00.000Z,0,
2021-06-15T00:00:00.000Z,0,
2021-06-16T00:00:00.000Z,0,
2020-06-20T00:00:00.000Z,0,
2020-06-26T00:00:00.000Z,0,4.626004374586046E-5
2020-06-23T00:00:00.000Z,0,3.528559682308696E-5
2020-06-24T00:00:00.000Z,0,1.8164659195463173E-5
2020-06-19T00:00:00.000Z,0,3.5639418456412386E-5
2020-06-21T00:00:00.000Z,0,2.2818825527792796E-5
