date,NO2
2020-10-22,5.871681969438214e-05
2020-10-21,5.9841398251592184e-05
2020-10-18,6.096597680880222e-05
2020-10-19,6.209055536601226e-05
2020-10-20,6.321513392322231e-05
2020-10-23,6.433971248043235e-05
2020-10-24,3.682880924316123e-05
2020-10-07,5.654278902511578e-05
2020-10-08,4.466655809665099e-05
2020-10-06,4.160741627856624e-05
2020-12-12,4.084110594917815e-05
2020-12-15,4.0074795619790065e-05
2020-12-19,3.930848529040198e-05
2020-12-18,3.854217496101389e-05
2020-12-13,3.77758646316258e-05
2020-12-17,3.700955430223771e-05
2020-12-14,3.6243243972849625e-05
2020-12-16,3.547693364346154e-05
2021-02-01,3.471062331407345e-05
2021-01-29,3.394431298468536e-05
2021-02-03,3.3178002655297274e-05
2021-02-05,3.241169232590918e-05
2021-01-30,3.16453819965211e-05
2021-01-31,3.0879071667133e-05
2021-02-04,3.011276133774492e-05
2021-02-02,2.934645100835683e-05
2020-09-12,2.8580140678968743e-05
2020-09-08,3.042449407075765e-05
2020-09-14,3.36075245286338e-05
2020-09-13,3.530067624524236e-05
2020-09-07,2.60923716268735e-05
2020-09-10,3.348642712808214e-05
2020-09-11,2.304106237716041e-05
2020-09-09,1.910244463942945e-05
2020-11-15,1.9345121017977362e-05
2020-11-16,1.9587797396525275e-05
2020-11-14,2.0635943110391965e-05
2020-11-12,2.1684088824258652e-05
2020-11-11,2.2732234538125343e-05
2020-11-13,2.378038025199203e-05
2020-11-10,2.482852596585872e-05
2020-11-17,3.7285963117028587e-05
2021-05-06,4.917549692133131e-05
2021-05-07,6.106503072563403e-05
2021-05-09,7.295456452993676e-05
2021-05-10,2.7246216632192954e-05
2021-05-11,4.860305489273742e-05
2021-05-05,2.5745152925082948e-05
2021-05-12,2.813538321788656e-05
2021-05-08,3.5768865473073674e-05
2021-05-25,4.340234772826079e-05
2021-05-21,2.3211616280605085e-05
2021-05-24,2.7259040507487956e-05
2021-05-26,1.8329926660953788e-05
2021-05-22,6.12930398347089e-05
2021-05-28,4.2730911900434876e-05
2021-05-27,2.4168783966160845e-05
2021-05-23,2.360849293836509e-05
2021-06-04,2.3048201910569333e-05
2021-05-30,4.8741369937488344e-05
2021-05-31,7.443453796440735e-05
2021-06-02,4.679678568209056e-05
2021-06-03,2.3213461645354982e-05
2021-06-01,2.9050695502519375e-05
2021-05-29,3.488792935968377e-05
2021-06-05,4.095166877959855e-05
2021-06-17,5.057924590801122e-05
2021-06-21,6.020682303642389e-05
2021-06-18,3.970553370891139e-05
2021-06-19,3.604101584642194e-05
2021-06-14,3.7744187162995026e-05
2021-06-20,3.9447358479568116e-05
2021-06-15,4.11505297961412e-05
2021-06-16,4.2853701112714283e-05
2020-06-20,4.4556872429287374e-05
2020-06-26,4.626004374586046e-05
2020-06-23,3.528559682308696e-05
2020-06-24,1.8164659195463173e-05
2020-06-19,3.5639418456412386e-05
2020-06-21,2.28188255277928e-05
2020-06-25,4.96904303872725e-05
2020-06-22,2.9734444979112595e-05
2020-06-07,3.13403106702026e-05
2020-06-10,3.29461763612926e-05
2020-06-09,5.980204514344223e-05
2020-06-04,2.8431577447918244e-05
2020-06-06,2.286917037963576e-05
2020-06-05,1.730676331135328e-05
2020-06-08,2.842164394678548e-05
2020-06-03,1.6305584722431377e-05
2020-08-02,3.530746380420169e-05
2020-08-05,9.062695608008652e-05
2020-08-01,7.142540895680818e-05
2020-07-29,5.222386183352985e-05
2020-07-31,3.302231471025152e-05
2020-08-03,3.093880968663143e-05
2020-07-30,3.3669166441541165e-05
2020-08-04,6.794188084313646e-05
2020-06-30,5.266421885607997e-05
2020-06-27,3.738655686902348e-05
2020-07-01,3.9853584894444793e-05
2020-06-28,2.3868325115472544e-05
2020-07-02,2.052628406090662e-05
2020-07-03,2.7545460397959687e-05
2020-06-29,2.3494685592595488e-05
2020-07-04,2.3623560991836712e-05
2020-11-04,2.711353454287746e-05
2020-11-08,3.060350809391821e-05
2020-11-02,2.6466347662790213e-05
2020-11-06,2.2329187231662218e-05
2020-11-03,3.663999314085231e-05
