date,feature_index,NO2
2020-11-04 00:00:00+00:00,0,2.4296987551982358e-05
2020-11-05 00:00:00+00:00,0,2.3313087391822286e-05
2020-11-06 00:00:00+00:00,0,2.2329187231662218e-05
2020-11-07 00:00:00+00:00,0,5.0950799050042406e-05
2020-11-08 00:00:00+00:00,0,3.060350809391821e-05
2020-11-09 00:00:00+00:00,0,5.825655898661353e-05
2020-11-10 00:00:00+00:00,0,2.482852596585872e-05
2020-11-11 00:00:00+00:00,0,2.3955071204303145e-05
2020-11-12 00:00:00+00:00,0,2.308161644274757e-05
2020-11-13 00:00:00+00:00,0,2.2208161681191996e-05
2020-11-14 00:00:00+00:00,0,2.1334706919636424e-05
2020-11-15 00:00:00+00:00,0,2.046125215808085e-05
2020-11-16 00:00:00+00:00,0,1.9587797396525275e-05
2020-11-17 00:00:00+00:00,0,3.7285963117028587e-05
2020-11-18 00:00:00+00:00,0,1.5627943412255263e-05
2020-11-19 00:00:00+00:00,0,1.4984065273893066e-05
2020-11-20 00:00:00+00:00,0,1.6037641011456387e-05
2020-11-21 00:00:00+00:00,0,1.709121674901971e-05
2020-11-22 00:00:00+00:00,0,1.8144792486583034e-05
2020-11-23 00:00:00+00:00,0,1.9198368224146356e-05
2020-11-24 00:00:00+00:00,0,2.0251943961709678e-05
2020-11-25 00:00:00+00:00,0,2.1305519699273e-05
2020-11-26 00:00:00+00:00,0,2.235909543683632e-05
2020-11-27 00:00:00+00:00,0,2.3412671174399646e-05
2020-11-28 00:00:00+00:00,0,2.4466246911962968e-05
2020-11-29 00:00:00+00:00,0,2.551982264952629e-05
2020-11-30 00:00:00+00:00,0,2.657339838708961e-05
2020-12-01 00:00:00+00:00,0,2.7626974124652933e-05
2020-12-02 00:00:00+00:00,0,2.8680549862216255e-05
2020-12-03 00:00:00+00:00,0,2.9734125599779577e-05
2020-12-04 00:00:00+00:00,0,3.07877013373429e-05
2020-12-05 00:00:00+00:00,0,3.184127707490623e-05
2020-12-06 00:00:00+00:00,0,3.289485281246954e-05
2020-12-07 00:00:00+00:00,0,3.394842855003287e-05
2020-12-08 00:00:00+00:00,0,3.500200428759619e-05
2020-12-09 00:00:00+00:00,0,3.6055580025159514e-05
2020-12-10 00:00:00+00:00,0,3.7109155762722836e-05
2020-12-11 00:00:00+00:00,0,3.816273150028616e-05
2020-12-12 00:00:00+00:00,0,3.921630723784948e-05
2020-12-13 00:00:00+00:00,0,4.02698829754128e-05
2020-12-14 00:00:00+00:00,0,4.132345871297613e-05
2020-12-15 00:00:00+00:00,0,4.2377034450539444e-05
2020-12-16 00:00:00+00:00,0,4.343061018810277e-05
2020-12-17 00:00:00+00:00,0,4.448418592566609e-05
2020-12-18 00:00:00+00:00,0,4.5537761663229416e-05
2020-12-19 00:00:00+00:00,0,4.659133740079274e-05
2020-12-20 00:00:00+00:00,0,4.764491313835606e-05
2020-12-21 00:00:00+00:00,0,5.2480787417152897e-05
2020-12-22 00:00:00+00:00,0,5.731666169594973e-05
2020-12-23 00:00:00+00:00,0,6.215253597474657e-05
2020-12-24 00:00:00+00:00,0,6.69884102535434e-05
2020-12-25 00:00:00+00:00,0,6.322057431264381e-05
2020-12-26 00:00:00+00:00,0,5.945273837174422e-05
2020-12-27 00:00:00+00:00,0,5.568490243084463e-05
2020-12-28 00:00:00+00:00,0,5.191706648994503e-05
2020-12-29 00:00:00+00:00,0,4.814923054904544e-05
2020-12-30 00:00:00+00:00,0,4.438139460814585e-05
2020-12-31 00:00:00+00:00,0,4.061355866724625e-05
2021-01-01 00:00:00+00:00,0,3.920782182831317e-05
2021-01-02 00:00:00+00:00,0,3.923248532373691e-05
2021-01-03 00:00:00+00:00,0,3.925714881916065e-05
2021-01-04 00:00:00+00:00,0,3.9281812314584384e-05
2021-01-05 00:00:00+00:00,0,3.9306475810008126e-05
2021-01-06 00:00:00+00:00,0,3.933113930543186e-05
2021-01-07 00:00:00+00:00,0,3.93558028008556e-05
2021-01-08 00:00:00+00:00,0,3.938046629627934e-05
2021-01-09 00:00:00+00:00,0,3.9405129791703074e-05
2021-01-10 00:00:00+00:00,0,3.9429793287126816e-05
2021-01-11 00:00:00+00:00,0,3.945445678255055e-05
2021-01-12 00:00:00+00:00,0,3.9479120277974286e-05
2021-01-13 00:00:00+00:00,0,3.950378377339803e-05
2021-01-14 00:00:00+00:00,0,3.952844726882176e-05
2021-01-15 00:00:00+00:00,0,3.9553110764245505e-05
2021-01-16 00:00:00+00:00,0,3.957777425966924e-05
2021-01-17 00:00:00+00:00,0,3.9602437755092976e-05
2021-01-18 00:00:00+00:00,0,3.962710125051672e-05
2021-01-19 00:00:00+00:00,0,3.965176474594045e-05
2021-01-20 00:00:00+00:00,0,3.9676428241364195e-05
2021-01-21 00:00:00+00:00,0,3.970109173678793e-05
2021-01-22 00:00:00+00:00,0,4.022209031973034e-05
2021-01-23 00:00:00+00:00,0,4.074308890267275e-05
2021-01-24 00:00:00+00:00,0,4.1264087485615164e-05
2021-01-25 00:00:00+00:00,0,4.1785086068557575e-05
2021-01-26 00:00:00+00:00,0,4.230608465149999e-05
2021-01-27 00:00:00+00:00,0,4.28270832344424e-05
2021-01-28 00:00:00+00:00,0,4.334808181738481e-05
2021-01-29 00:00:00+00:00,0,4.386908040032722e-05
2021-01-30 00:00:00+00:00,0,4.439007898326963e-05
2021-01-31 00:00:00+00:00,0,4.491107756621204e-05
2021-02-01 00:00:00+00:00,0,4.5432076149154454e-05
2021-02-02 00:00:00+00:00,0,4.5953074732096866e-05
2021-02-03 00:00:00+00:00,0,4.647407331503928e-05
2021-02-04 00:00:00+00:00,0,4.699507189798169e-05
2021-02-05 00:00:00+00:00,0,4.75160704809241e-05
2021-02-06 00:00:00+00:00,0,4.803706906386651e-05
2021-02-07 00:00:00+00:00,0,4.855806764680892e-05
2021-02-08 00:00:00+00:00,0,4.9079066229751334e-05
2021-02-09 00:00:00+00:00,0,4.9600064812693745e-05
2021-02-10 00:00:00+00:00,0,5.0121063395636156e-05
2021-02-11 00:00:00+00:00,0,5.064206197857857e-05
2021-02-12 00:00:00+00:00,0,5.116306056152098e-05
2021-02-13 00:00:00+00:00,0,5.168405914446339e-05
2021-02-14 00:00:00+00:00,0,6.0454506456153465e-05
2021-02-15 00:00:00+00:00,0,6.922495376784354e-05
2021-02-16 00:00:00+00:00,0,7.799540107953363e-05
2021-02-17 00:00:00+00:00,0,8.67658483912237e-05
2021-02-18 00:00:00+00:00,0,9.553629570291378e-05
2021-02-19 00:00:00+00:00,0,8.979079120763345e-05
2021-02-20 00:00:00+00:00,0,8.404528671235312e-05
2021-02-21 00:00:00+00:00,0,7.829978221707279e-05
2021-02-22 00:00:00+00:00,0,7.255427772179246e-05
2021-02-23 00:00:00+00:00,0,6.680877322651213e-05
2021-02-24 00:00:00+00:00,0,6.10632687312318e-05
2021-02-25 00:00:00+00:00,0,5.531776423595147e-05
2021-02-26 00:00:00+00:00,0,4.957225974067114e-05
2021-02-27 00:00:00+00:00,0,4.956178881085097e-05
2021-02-28 00:00:00+00:00,0,4.955131788103079e-05
2021-03-01 00:00:00+00:00,0,4.954084695121062e-05
2021-03-02 00:00:00+00:00,0,4.9530376021390445e-05
2021-03-03 00:00:00+00:00,0,4.9519905091570266e-05
2021-03-04 00:00:00+00:00,0,4.950943416175009e-05
2021-03-05 00:00:00+00:00,0,4.9498963231929913e-05
2021-03-06 00:00:00+00:00,0,4.948849230210974e-05
2021-03-07 00:00:00+00:00,0,4.947802137228957e-05
2021-03-08 00:00:00+00:00,0,4.946755044246939e-05
2021-03-09 00:00:00+00:00,0,4.9457079512649216e-05
2021-03-10 00:00:00+00:00,0,4.888776553949962e-05
2021-03-11 00:00:00+00:00,0,4.831845156635003e-05
2021-03-12 00:00:00+00:00,0,4.774913759320043e-05
2021-03-13 00:00:00+00:00,0,4.7694321983726697e-05
2021-03-14 00:00:00+00:00,0,4.763950637425296e-05
2021-03-15 00:00:00+00:00,0,4.758469076477923e-05
2021-03-16 00:00:00+00:00,0,4.7529875155305495e-05
2021-03-17 00:00:00+00:00,0,4.747505954583176e-05
2021-03-18 00:00:00+00:00,0,8.038000669330359e-05
2021-03-19 00:00:00+00:00,0,3.5387385651119985e-05
2021-03-20 00:00:00+00:00,0,4.1085546399699524e-05
2021-03-21 00:00:00+00:00,0,4.678370714827906e-05
2021-03-22 00:00:00+00:00,0,4.757831720780814e-05
2021-03-23 00:00:00+00:00,0,4.837292726733722e-05
2021-03-24 00:00:00+00:00,0,6.373411451932043e-05
2021-03-25 00:00:00+00:00,0,7.909530177130363e-05
2021-03-26 00:00:00+00:00,0,9.445648902328684e-05
2021-03-27 00:00:00+00:00,0,6.818640486017101e-05
2021-03-28 00:00:00+00:00,0,4.19163206970552e-05
2021-03-29 00:00:00+00:00,0,3.839069977402687e-05
2021-03-30 00:00:00+00:00,0,3.4865078850998545e-05
2021-03-31 00:00:00+00:00,0,3.1339457927970214e-05
2021-04-01 00:00:00+00:00,0,2.7813837004941887e-05
2021-04-02 00:00:00+00:00,0,2.428821608191356e-05
2021-04-03 00:00:00+00:00,0,4.483600059757009e-05
2021-04-04 00:00:00+00:00,0,5.0814553105738014e-05
2021-04-05 00:00:00+00:00,0,5.6793105613905936e-05
2021-04-06 00:00:00+00:00,0,5.2303335223768954e-05
2021-04-07 00:00:00+00:00,0,4.781356483363197e-05
2021-04-08 00:00:00+00:00,0,4.332379444349499e-05
2021-04-09 00:00:00+00:00,0,3.883402405335801e-05
2021-04-10 00:00:00+00:00,0,3.690804032885353e-05
2021-04-11 00:00:00+00:00,0,3.4982056604349054e-05
2021-04-12 00:00:00+00:00,0,3.784649470617296e-05
2021-04-13 00:00:00+00:00,0,4.071093280799687e-05
2021-04-14 00:00:00+00:00,0,4.357537090982078e-05
2021-04-15 00:00:00+00:00,0,4.643980901164469e-05
2021-04-16 00:00:00+00:00,0,3.021163956873352e-05
2021-04-17 00:00:00+00:00,0,3.811571150436066e-05
2021-04-18 00:00:00+00:00,0,2.696396222745534e-05
