NO2_t-1,NO2_t-2,NO2_t-3,NO2
0.13914910562137153,0.1384570430572457,0.13720811065656385,3.9405129791703074e-05
0.14072239813015552,0.14002848640468588,0.13877878724416445,3.9429793287126816e-05
0.14229569063893993,0.14159992975212557,0.14034946383176547,3.945445678255055e-05
0.1438689831477239,0.14317137309956574,0.14192014041936607,3.9479120277974286e-05
0.14544227565650789,0.14474281644700546,0.14349081700696711,3.950378377339803e-05
0.1470155681652923,0.14631425979444518,0.1450614935945677,3.952844726882176e-05
0.14858886067407626,0.14788570314188532,0.1466321701821683,3.955311076424551e-05
0.1501621531828611,0.14945714648932504,0.14820284676976933,3.957777425966924e-05
0.15173544569164465,0.15102858983676562,0.14977352335736993,3.9602437755092976e-05
0.15330873820042862,0.1526000331842049,0.1513441999449714,3.962710125051672e-05
0.15488203070921303,0.15417147653164462,0.15291487653257155,3.965176474594045e-05
0.15645532321799702,0.15574291987908478,0.15448555312017215,3.96764282413642e-05
0.15802861572678187,0.1573143632265245,0.1560562297077732,3.970109173678793e-05
0.1596019082355654,0.1588858065739651,0.15762690629537376,4.022209031973034e-05
0.1928365797023491,0.16045724992140437,0.15919758288297525,4.074308890267275e-05
0.22607125116913282,0.19365285918619934,0.1607682594705754,4.126408748561517e-05
0.25930592263591695,0.22684846845099432,0.19394767148584124,4.1785086068557575e-05
0.2925405941027003,0.26004407771578975,0.22712708350110708,4.230608465149999e-05
0.325775265569484,0.2932396869805843,0.26030649551637336,4.28270832344424e-05
0.3590099370362677,0.32643529624537926,0.2934859075316387,4.334808181738481e-05
0.39224460850305143,0.35963090551017424,0.3266653195469046,4.386908040032722e-05
0.42547927996983514,0.39282651477496916,0.3598447315621704,4.439007898326963e-05
0.4587139514366188,0.42602212403976414,0.39302414357743626,4.491107756621204e-05
0.4919486229034025,0.4592177333045591,0.42620355559270207,4.543207614915445e-05
0.5251832943701858,0.4924133425693541,0.45938296760796793,4.595307473209687e-05
0.5584179658369705,0.5256089518341487,0.49256237962323374,4.647407331503928e-05
0.5916526373037537,0.5588045610989445,0.5257417916384991,4.699507189798169e-05
0.6248873087705374,0.5920001703637391,0.5589212036537659,4.75160704809241e-05
0.6581219802373212,0.625195779628534,0.5921006156690313,4.803706906386651e-05
0.6913566517041049,0.6583913888933289,0.625280027684297,4.855806764680892e-05
0.7245913231708886,0.691586998158124,0.6584594396995629,4.907906622975133e-05
0.7578259946376719,0.7247826074229189,0.6916388517148288,4.960006481269375e-05
0.7910606661044564,0.7579782166877135,0.7248182637300946,5.012106339563616e-05
0.8242953375712401,0.7911738259525093,0.75799767574536,5.064206197857857e-05
0.8575300090380235,0.8243694352173043,0.7911770877606267,5.116306056152098e-05
0.8907646805048072,0.8575650444820988,0.8243564997758925,5.168405914446339e-05
0.9239993519715909,0.8907606537468938,0.857535911791158,6.0454506456153465e-05
1.483469079076348,0.9239562630116888,0.8907153238064237,6.922495376784354e-05
2.0429388061811053,1.4827684202196412,0.9238947358216896,7.799540107953363e-05
